"가공식품품목명","대표식품명","식품대분류명","식품소분류명"
"망고드레싱","소스/드레싱","조미식품","소스"
"발사믹드레싱","소스/드레싱","조미식품","소스"
"사우전드아일랜드드레싱","소스/드레싱","조미식품","소스"
"스위트크림드레싱","소스/드레싱","조미식품","소스"
"시저드레싱","소스/드레싱","조미식품","소스"
"양파드레싱","소스/드레싱","조미식품","소스"
"오렌지샐러드드레싱","소스/드레싱","조미식품","소스"
"오리엔탈드레싱","소스/드레싱","조미식품","소스"
"요거트드레싱","소스/드레싱","조미식품","소스"
"이탈리안드레싱","소스/드레싱","조미식품","소스"
"자몽드레싱","소스/드레싱","조미식품","소스"
"참깨흑임자드레싱","소스/드레싱","조미식품","소스"
"케이준드레싱","소스/드레싱","조미식품","소스"
"콘샐러드드레싱","소스/드레싱","조미식품","소스"
"콜슬로드레싱","소스/드레싱","조미식품","소스"
"크림드레싱","소스/드레싱","조미식품","소스"
"키위드레싱","소스/드레싱","조미식품","소스"
"파인애플드레싱","소스/드레싱","조미식품","소스"
"허니머스터드드레싱","소스/드레싱","조미식품","소스"
"허니요거트드레싱","소스/드레싱","조미식품","소스"
"와사비/페이스트","소스/드레싱","조미식품","소스"
"과립형육수","소스/드레싱","조미식품","소스"
"냉면육수","소스/드레싱","조미식품","소스"
"멸치육수","소스/드레싱","조미식품","소스"
"북어육수","소스/드레싱","조미식품","소스"
"사골엑기스","소스/드레싱","조미식품","소스"
"사골육수/액상","소스/드레싱","조미식품","소스"
"소고기육수","소스/드레싱","조미식품","소스"
"어묵육수","소스/드레싱","조미식품","소스"
"맛술","소스/드레싱","조미식품","소스"
"카레소스","소스/드레싱","조미식품","카레(커리)"
"식초","식초","조미식품","발효식초"
"발사믹식초","식초","조미식품","발효식초"
"사과식초","식초","조미식품","발효식초"
"현미식초","식초","조미식품","발효식초"
"토마토케첩","토마토케첩","조미식품","토마토케첩"
"닭육수/가루","복합조미식품","조미식품","복합조미식품"
"라면수프","복합조미식품","조미식품","복합조미식품"
"사천자장소스","복합조미식품","조미식품","복합조미식품"
"쇠고기분말","복합조미식품","조미식품","복합조미식품"
"자장가루","복합조미식품","조미식품","복합조미식품"
"카레가루","복합조미식품","조미식품","복합조미식품"
"크림스파게티소스/가루","복합조미식품","조미식품","복합조미식품"
"혼합다시","복합조미식품","조미식품","복합조미식품"
"후리카케","복합조미식품","조미식품","복합조미식품"
"복합조미식품","복합조미식품","조미식품","복합조미식품"
"바질가루","천연향신료","조미식품","천연향신료"
"산초가루","천연향신료","조미식품","천연향신료"
"생강가루","천연향신료","조미식품","천연향신료"
"생강페이스트","천연향신료","조미식품","천연향신료"
"올스파이스","천연향신료","조미식품","천연향신료"
"정향","천연향신료","조미식품","천연향신료"
"검은후추","천연향신료","조미식품","천연향신료"
"흰후추","천연향신료","조미식품","천연향신료"
"매실청","과·채당절임","절임류 또는 조림류","당절임"
"유자청","과·채당절임","절임류 또는 조림류","당절임"
"무쌈","단무지/피클","절임류 또는 조림류","절임식품"
"채소피클","단무지/피클","절임류 또는 조림류","절임식품"
"무피클","단무지/피클","절임류 또는 조림류","절임식품"
"오이피클","단무지/피클","절임류 또는 조림류","절임식품"
"간장깻잎장아찌","장아찌","절임류 또는 조림류","절임식품"
"고추장아찌","장아찌","절임류 또는 조림류","절임식품"
"된장깻잎장아찌","장아찌","절임류 또는 조림류","절임식품"
"마늘장아찌","장아찌","절임류 또는 조림류","절임식품"
"마늘종장아찌","장아찌","절임류 또는 조림류","절임식품"
"명이나물절임","장아찌","절임류 또는 조림류","절임식품"
"무장아찌","장아찌","절임류 또는 조림류","절임식품"
"오이지","장아찌","절임류 또는 조림류","절임식품"
"울외장아찌","장아찌","절임류 또는 조림류","절임식품"
"갓김치","김치","절임류 또는 조림류","김치"
"고들빼기김치","김치","절임류 또는 조림류","김치"
"깍두기","김치","절임류 또는 조림류","김치"
"나박김치","김치","절임류 또는 조림류","김치"
"동치미","김치","절임류 또는 조림류","김치"
"배추김치","김치","절임류 또는 조림류","김치"
"무말랭이무침","김치","절임류 또는 조림류","김치"
"무생채","김치","절임류 또는 조림류","김치"
"백김치","김치","절임류 또는 조림류","김치"
"열무김치","김치","절임류 또는 조림류","김치"
"열무물김치","김치","절임류 또는 조림류","김치"
"오이소박이","김치","절임류 또는 조림류","김치"
"총각김치","김치","절임류 또는 조림류","김치"
"파김치","김치","절임류 또는 조림류","김치"
"청주","청주","주류","청주"
"꿀아몬드","견과류","농산가공식품류","땅콩 또는 견과류가공품"
"맛밤","견과류","농산가공식품류","땅콩 또는 견과류가공품"
"모둠견과","견과류","농산가공식품류","땅콩 또는 견과류가공품"
"백도통조림","과일가공품","농산가공식품류","과·채가공품"
"황도통조림","과일가공품","농산가공식품류","과·채가공품"
"파인애플통조림","과일가공품","농산가공식품류","과·채가공품"
"후르츠칵테일통조림","과일가공품","농산가공식품류","과·채가공품"
"녹두전/반죽","두류가공품","농산가공식품류","두류가공품"
"두부가스","두류가공품","농산가공식품류","두류가공품"
"콩고기","두류가공품","농산가공식품류","두류가공품"
"콩고기가스","두류가공품","농산가공식품류","두류가공품"
"콩고기너겟","두류가공품","농산가공식품류","두류가공품"
"부침가루","부침가루/튀김가루/믹스","농산가공식품류","곡류가공품"
"튀김가루","부침가루/튀김가루/믹스","농산가공식품류","곡류가공품"
"감자부침가루","부침가루/튀김가루/믹스","농산가공식품류","곡류가공품"
"녹두전/가루","부침가루/튀김가루/믹스","농산가공식품류","곡류가공품"
"치킨튀김가루","부침가루/튀김가루/믹스","농산가공식품류","곡류가공품"
"베이킹파우더","부침가루/튀김가루/믹스","농산가공식품류","곡류가공품"
"머핀/가루","부침가루/튀김가루/믹스","농산가공식품류","곡류가공품"
"초코쿠키/가루","부침가루/튀김가루/믹스","농산가공식품류","곡류가공품"
"핫케이크/가루","부침가루/튀김가루/믹스","농산가공식품류","곡류가공품"
"초코핫케이크/가루","부침가루/튀김가루/믹스","농산가공식품류","곡류가공품"
"빵가루/건식","빵가루","농산가공식품류","곡류가공품"
"크로켓","서류가공품","농산가공식품류","서류가공품"
"감자치즈크로켓","서류가공품","농산가공식품류","서류가공품"
"감자크로켓","서류가공품","농산가공식품류","서류가공품"
"고구마맛탕","서류가공품","농산가공식품류","서류가공품"
"고구마튀김","서류가공품","농산가공식품류","서류가공품"
"감자부각/완제품","서류가공품","농산가공식품류","기타 농산가공품"
"귀리시리얼","시리얼","농산가공식품류","해당없음"
"그래놀라시리얼","시리얼","농산가공식품류","해당없음"
"쌀시리얼","시리얼","농산가공식품류","해당없음"
"아몬드시리얼","시리얼","농산가공식품류","해당없음"
"옥수수시리얼","시리얼","농산가공식품류","해당없음"
"초코시리얼","시리얼","농산가공식품류","해당없음"
"코코넛시리얼","시리얼","농산가공식품류","해당없음"
"현미시리얼","시리얼","농산가공식품류","해당없음"
"채소튀김","채소가공품","농산가공식품류","과·채가공품"
"베이크드 빈스","채소가공품","농산가공식품류","과·채가공품"
"양파링","채소가공품","농산가공식품류","과·채가공품"
"옥수수통조림","채소가공품","농산가공식품류","과·채가공품"
"완두콩통조림","채소가공품","농산가공식품류","과·채가공품"
"죽순통조림","채소가공품","농산가공식품류","과·채가공품"
"토마토통조림","채소가공품","농산가공식품류","과·채가공품"
"토마토페이스트","채소가공품","농산가공식품류","과·채가공품"
"연근부각/완제품","채소가공품","농산가공식품류","기타 농산가공품"
"우엉부각/완제품","채소가공품","농산가공식품류","기타 농산가공품"
"보릿가루","기타 농산가공품","농산가공식품류","기타 농산가공품"
"메밀전병","기타 농산가공품","농산가공식품류","기타 농산가공품"
"김치메밀전병","기타 농산가공품","농산가공식품류","기타 농산가공품"
"김치전","기타 농산가공품","농산가공식품류","기타 농산가공품"
"부추전","기타 농산가공품","농산가공식품류","기타 농산가공품"
"파전","기타 농산가공품","농산가공식품류","기타 농산가공품"
"베이컨","베이컨","식육가공품 및 포장육","해당없음"
"베이컨칩","베이컨","식육가공품 및 포장육","해당없음"
"마늘소시지","소시지","식육가공품 및 포장육","소시지"
"모둠햄소시지","소시지","식육가공품 및 포장육","소시지"
"비엔나소시지","소시지","식육가공품 및 포장육","소시지"
"채소소시지","소시지","식육가공품 및 포장육","소시지"
"치즈소시지","소시지","식육가공품 및 포장육","소시지"
"프랑크소시지","소시지","식육가공품 및 포장육","소시지"
"김밥햄","햄","식육가공품 및 포장육","햄"
"돼지고기햄","햄","식육가공품 및 포장육","햄"
"마늘햄","햄","식육가공품 및 포장육","햄"
"스모그햄","햄","식육가공품 및 포장육","햄"
"슬라이스햄","햄","식육가공품 및 포장육","햄"
"쵸핑햄","햄","식육가공품 및 포장육","햄"
"통조림햄","햄","식육가공품 및 포장육","햄"
"훈제닭고기","햄","식육가공품 및 포장육","햄"
"훈제오리고기","햄","식육가공품 및 포장육","햄"
"육포","기타 식육가공품","식육가공품 및 포장육","해당없음"
"닭갈비","기타 식육가공품","식육가공품 및 포장육","양념육"
"닭꼬치/생것","기타 식육가공품","식육가공품 및 포장육","양념육"
"떡갈비/완제품","기타 식육가공품","식육가공품 및 포장육","양념육"
"고추순살치킨","기타 식육가공품","식육가공품 및 포장육","양념육"
"눈꽃치킨","기타 식육가공품","식육가공품 및 포장육","양념육"
"바비큐치킨","기타 식육가공품","식육가공품 및 포장육","양념육"
"닭날개튀김","기타 식육가공품","식육가공품 및 포장육","양념육"
"닭다리튀김","기타 식육가공품","식육가공품 및 포장육","양념육"
"찜닭","기타 식육가공품","식육가공품 및 포장육","양념육"
"바비큐폭립","기타 식육가공품","식육가공품 및 포장육","양념육"
"갈비산적","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"고기말이","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"깐풍기","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"꿔바로우/칼슘강화","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"동그랑땡","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"두부동그랑땡","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"닭고기완자","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"고기완자","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"치즈너겟","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"치킨너겟","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"돈가스","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"돈가스/칼슘강화","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"치즈돈가스","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"치즈치킨가스","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"치킨가스","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"팝콘치킨","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"탕수육","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"탕수육/칼슘강화","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"햄버거패티","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"치킨패티","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"치킨가라아게","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"치킨텐더","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"채소고기말이","기타 식육가공품","식육가공품 및 포장육","분쇄가공육제품"
"닭강정","기타 식육가공품","식육가공품 및 포장육","해당없음"
"오리불고기","양념육","식육가공품 및 포장육","양념육"
"달걀말이","달걀/메추리알","알가공품류","해당없음"
"달걀지단","달걀/메추리알","알가공품류","해당없음"
"스크램블에그","달걀/메추리알","알가공품류","해당없음"
"오믈렛","달걀/메추리알","알가공품류","해당없음"
"치즈오믈렛","달걀/메추리알","알가공품류","해당없음"
"피자오믈렛","달걀/메추리알","알가공품류","해당없음"
"검은콩우유","가공우유","유가공품류","가공유"
"딸기우유","가공우유","유가공품류","가공유"
"바나나우유","가공우유","유가공품류","가공유"
"시리얼우유","가공우유","유가공품류","가공유"
"우유/저지방","가공우유","유가공품류","가공유"
"초코우유","가공우유","유가공품류","가공유"
"커피우유","가공우유","유가공품류","가공유"
"우유/칼슘강화","강화우유","유가공품류","강화우유"
"그릭요거트","농후발효유","유가공품류","농후발효유"
"딸기호상요구르트","농후발효유","유가공품류","농후발효유"
"망고호상요구르트","농후발효유","유가공품류","농후발효유"
"복숭아호상요구르트","농후발효유","유가공품류","농후발효유"
"사과호상요구르트","농후발효유","유가공품류","농후발효유"
"블루베리호상요구르트","농후발효유","유가공품류","농후발효유"
"플레인호상요구르트/가당","농후발효유","유가공품류","농후발효유"
"플레인액상요구르트","발효유","유가공품류","발효유"
"복숭아액상요구르트","발효유","유가공품류","발효유"
"딸기액상요구르트","발효유","유가공품류","발효유"
"망고액상요구르트","발효유","유가공품류","발효유"
"블루베리액상요구르트","발효유","유가공품류","발효유"
"사과액상요구르트","발효유","유가공품류","발효유"
"산양유액상요구르트","발효유","유가공품류","발효유"
"포도액상요구르트","발효유","유가공품류","발효유"
"버터/가염","버터","유가공품류","버터"
"버터/무염","버터","유가공품류","버터"
"땅콩버터","버터","유가공품류","버터"
"연유","연유","유가공품류","가공연유"
"멸균유","우유(멸균)","유가공품류","우유"
"생크림","유크림","유가공품류","가공유크림"
"모짜렐라치즈","치즈","유가공품류","가공치즈"
"스트링치즈","치즈","유가공품류","가공치즈"
"슬라이스치즈","치즈","유가공품류","가공치즈"
"체다치즈","치즈","유가공품류","가공치즈"
"카테지치즈","치즈","유가공품류","가공치즈"
"크림치즈","치즈","유가공품류","가공치즈"
"파마산치즈","치즈","유가공품류","가공치즈"
"플레인호상요구르트/무가당","농후발효유","유가공품류","농후발효유"
"고등어구이","고등어","수산가공식품류","해당없음"
"골뱅이통조림","골뱅이","수산가공식품류","해당없음"
"꽁치통조림","꽁치","수산가공식품류","해당없음"
"어묵","어묵","수산가공식품류","어묵"
"어묵/칼슘강화","어묵","수산가공식품류","어묵"
"가마보꼬","어묵","수산가공식품류","어묵"
"게맛살","어묵","수산가공식품류","어묵"
"어두부전","어묵","수산가공식품류","어묵"
"오징어어묵","어묵","수산가공식품류","어묵"
"잡채어묵","어묵","수산가공식품류","어묵"
"어육소시지","어육가공품","수산가공식품류","어육소시지"
"감자말이새우튀김","어육가공품","수산가공식품류","해당없음"
"대구살튀김","어육가공품","수산가공식품류","해당없음"
"새우튀김","어육가공품","수산가공식품류","해당없음"
"오징어튀김","어육가공품","수산가공식품류","해당없음"
"왕새우튀김","어육가공품","수산가공식품류","해당없음"
"새우가스","어육가공품","수산가공식품류","해당없음"
"생선가스","어육가공품","수산가공식품류","해당없음"
"오징어가스","어육가공품","수산가공식품류","해당없음"
"클로렐라생선가스","어육가공품","수산가공식품류","해당없음"
"새우너겟","어육가공품","수산가공식품류","해당없음"
"새우완자","어육가공품","수산가공식품류","해당없음"
"해물완자","어육가공품","수산가공식품류","해당없음"
"새우동그랑땡","어육가공품","수산가공식품류","해당없음"
"해물동그랑땡","어육가공품","수산가공식품류","해당없음"
"해물전","어육가공품","수산가공식품류","해당없음"
"새우탕수육","어육가공품","수산가공식품류","해당없음"
"새우패티","어육가공품","수산가공식품류","해당없음"
"훈제연어","연어","수산가공식품류","해당없음"
"명엽채","조미건어포","수산가공식품류","기타 어육가공품"
"오징어실채","조미건어포","수산가공식품류","기타 어육가공품"
"진미채","조미건어포","수산가공식품류","기타 어육가공품"
"고추참치통조림","참치","수산가공식품류","해당없음"
"참치통조림","참치","수산가공식품류","해당없음"
"김/무염","기타 수산가공품","수산가공식품류","해당없음"
"김/조미","기타 수산가공품","수산가공식품류","해당없음"
"김부각/완제품","기타 수산가공품","수산가공식품류","해당없음"
"다시마부각/완제품","기타 수산가공품","수산가공식품류","해당없음"
"다시마튀각","기타 수산가공품","수산가공식품류","해당없음"
"김자반/조미","기타 수산가공품","수산가공식품류","해당없음"
"파래자반","기타 수산가공품","수산가공식품류","해당없음"
"새우가루","기타 수산가공품","수산가공식품류","해당없음"
"낙지젓","젓갈/액젓","수산가공식품류","젓갈"
"까나리액젓","젓갈/액젓","수산가공식품류","액젓"
"멸치액젓","젓갈/액젓","수산가공식품류","액젓"
"새우젓","젓갈/액젓","수산가공식품류","액젓"
"감자튀김","감자튀김","즉석식품류","즉석조리식품"
"매쉬드포테이토","감자튀김","즉석식품류","즉석조리식품"
"해시브라운","감자튀김","즉석식품류","즉석조리식품"
"콩국","국/탕류","즉석식품류","즉석섭취식품"
"닭개장","국/탕류","즉석식품류","즉석조리식품"
"삼계탕","국/탕류","즉석식품류","즉석조리식품"
"갈비만두","만두","즉석식품류","만두"
"감자만두","만두","즉석식품류","만두"
"고기만두","만두","즉석식품류","만두"
"김치만두","만두","즉석식품류","만두"
"납작만두","만두","즉석식품류","만두"
"물만두","만두","즉석식품류","만두"
"버섯만두","만두","즉석식품류","만두"
"부추만두","만두","즉석식품류","만두"
"새알만두","만두","즉석식품류","만두"
"새우만두","만두","즉석식품류","만두"
"오징어만두","만두","즉석식품류","만두"
"왕만두","만두","즉석식품류","만두"
"잡채만두","만두","즉석식품류","만두"
"채소만두","만두","즉석식품류","만두"
"해물만두","만두","즉석식품류","만두"
"군만두","만두","즉석식품류","만두"
"김치군만두","만두","즉석식품류","만두"
"새우군만두","만두","즉석식품류","만두"
"피자군만두","만두","즉석식품류","만두"
"해물군만두","만두","즉석식품류","만두"
"춘권","만두","즉석식품류","만두"
"딤섬","만두","즉석식품류","만두"
"새우딤섬","만두","즉석식품류","만두"
"만두피","만두피","즉석식품류","만두피"
"돼지고기장조림","반찬","즉석식품류","즉석섭취식품"
"쇠고기장조림","반찬","즉석식품류","즉석섭취식품"
"우엉조림","반찬","즉석식품류","즉석섭취식품"
"볶음밥","밥류","즉석식품류","즉석조리식품"
"김치볶음밥","밥류","즉석식품류","즉석조리식품"
"해물볶음밥","밥류","즉석식품류","즉석조리식품"
"치즈버거","버거","즉석식품류","즉석섭취식품"
"햄버거","버거","즉석식품류","즉석섭취식품"
"에그샌드위치","샌드위치","즉석식품류","즉석섭취식품"
"치킨샌드위치","샌드위치","즉석식품류","즉석섭취식품"
"쇠고기샌드위치","샌드위치","즉석식품류","즉석섭취식품"
"참치샌드위치","샌드위치","즉석식품류","즉석섭취식품"
"햄치즈샌드위치","샌드위치","즉석식품류","즉석섭취식품"
"감자샐러드","샐러드","즉석식품류","신선편의식품"
"고구마샐러드","샐러드","즉석식품류","신선편의식품"
"단호박샐러드","샐러드","즉석식품류","신선편의식품"
"코울슬로우","샐러드","즉석식품류","신선편의식품"
"누드순대","순대","즉석식품류","즉석조리식품"
"순대","순대","즉석식품류","즉석조리식품"
"찰순대","순대","즉석식품류","즉석조리식품"
"감자수프","스프","즉석식품류","즉석조리식품"
"브로콜리수프","스프","즉석식품류","즉석조리식품"
"옥수수수프","스프","즉석식품류","즉석조리식품"
"크림수프/액상","스프","즉석식품류","즉석조리식품"
"주먹밥","주먹밥/초밥","즉석식품류","즉석섭취식품"
"참치김치삼각김밥","주먹밥/초밥","즉석식품류","즉석섭취식품"
"전복죽","죽","즉석식품류","즉석조리식품"
"고추잡채김말이","튀김","즉석식품류","즉석조리식품"
"김말이튀김","튀김","즉석식품류","즉석조리식품"
"치즈스틱","튀김","즉석식품류","즉석조리식품"
"고구마햄버그스테이크","함박스테이크/미트볼","즉석식품류","즉석조리식품"
"두부스테이크","함박스테이크/미트볼","즉석식품류","즉석조리식품"
"햄버그스테이크","함박스테이크/미트볼","즉석식품류","즉석조리식품"
"연어스테이크","함박스테이크/미트볼","즉석식품류","즉석조리식품"
"오리스테이크","함박스테이크/미트볼","즉석식품류","즉석조리식품"
"찹스테이크","함박스테이크/미트볼","즉석식품류","즉석조리식품"
"치즈햄버그스테이크","함박스테이크/미트볼","즉석식품류","즉석조리식품"
"미트볼","함박스테이크/미트볼","즉석식품류","즉석조리식품"
"두부미트볼","함박스테이크/미트볼","즉석식품류","즉석조리식품"
"콩고기미트볼","함박스테이크/미트볼","즉석식품류","즉석조리식품"
